count,male,female,young,old,short,medium,tall,thin,normal,fat,bmi_l,bmi_n,bmi_h,grf_l,grf_n,grf_h,sen_l,sen_n,sen_h,pre_l,pre_n,pre_h,env_l,env_n,env_h,date,time,ta,hr,season,va,height_avg,weight_avg,bmi_avg,griffith_avg,tsv
7,1.0,0.16666666666666666,1.0,0.4,0.5,0.25,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,0.4,1.0,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.25,2021/1/17,16:30:00,25.065714285714286,14.299999999999999,1,0.49656338238243525,177.57142857142858,72.1,22.74142857142857,0.7728571428571429,1
7,1.0,0.16666666666666666,1.0,0.4,0.5,0.25,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,0.4,1.0,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.25,2021/1/17,17:00:00,23.871428571428574,14.599999999999998,1,0.29250676501131795,177.57142857142858,72.1,22.74142857142857,0.7728571428571429,1
7,1.0,0.16666666666666666,1.0,0.4,0.5,0.25,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,0.4,1.0,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.25,2021/1/17,17:30:00,24.327142857142857,14.700000000000001,1,0.3180979938516768,177.57142857142858,72.1,22.74142857142857,0.7728571428571429,1
7,1.0,0.16666666666666666,1.0,0.4,0.5,0.25,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,0.4,1.0,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.25,2021/1/17,09:00:00,19.689999999999998,15.700000000000001,1,1.1807082901364183,177.57142857142858,72.1,22.74142857142857,0.7728571428571429,0
7,1.0,0.16666666666666666,1.0,0.4,0.5,0.25,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,0.4,1.0,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.25,2021/1/17,09:30:00,19.97857142857143,17.400000000000002,1,0.36810270928086225,177.57142857142858,72.1,22.74142857142857,0.7728571428571429,0
7,1.0,0.16666666666666666,1.0,0.4,0.5,0.25,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,0.4,1.0,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.25,2021/1/17,10:00:00,22.587142857142858,17.5,1,0.42592194498475405,177.57142857142858,72.1,22.74142857142857,0.7728571428571429,1
7,1.0,0.16666666666666666,1.0,0.4,0.5,0.25,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,0.4,1.0,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.25,2021/1/17,10:30:00,20.75857142857143,16.900000000000002,1,1.1551660878864514,177.57142857142858,72.1,22.74142857142857,0.7728571428571429,0
7,1.0,0.16666666666666666,1.0,0.4,0.5,0.25,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,0.4,1.0,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.25,2021/1/17,11:00:00,23.854285714285716,14.400000000000002,1,0.12918740794489872,177.57142857142858,72.1,22.74142857142857,0.7728571428571429,1
7,1.0,0.16666666666666666,1.0,0.4,0.5,0.25,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,0.4,1.0,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.25,2021/1/17,11:30:00,24.118571428571432,13.799999999999999,1,0.7141715077352391,177.57142857142858,72.1,22.74142857142857,0.7728571428571429,1
7,1.0,0.16666666666666666,1.0,0.4,0.5,0.25,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,0.4,1.0,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.25,2021/1/17,12:00:00,24.63,13.299999999999999,1,0.06530168043402566,177.57142857142858,72.1,22.74142857142857,0.7728571428571429,1
7,1.0,0.16666666666666666,1.0,0.4,0.5,0.25,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,0.4,1.0,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.25,2021/1/17,14:30:00,26.052857142857142,11.599999999999998,1,0.5369168074512519,177.57142857142858,72.1,22.74142857142857,0.7728571428571429,2
7,1.0,0.16666666666666666,1.0,0.4,0.5,0.25,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,0.4,1.0,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.25,2021/1/17,15:00:00,22.98857142857143,13.799999999999999,1,0.755079083968807,177.57142857142858,72.1,22.74142857142857,0.7728571428571429,1
7,1.0,0.16666666666666666,1.0,0.4,0.5,0.25,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,0.4,1.0,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.25,2021/1/17,15:30:00,22.97857142857143,14.200000000000001,1,0.010307182076468946,177.57142857142858,72.1,22.74142857142857,0.7728571428571429,1
7,1.0,0.16666666666666666,1.0,0.4,0.5,0.25,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,0.4,1.0,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.25,2021/1/17,16:00:00,24.77,14.400000000000002,1,0.5448802082041618,177.57142857142858,72.1,22.74142857142857,0.7728571428571429,1
7,1.0,0.16666666666666666,1.0,0.4,0.5,0.25,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,0.4,1.0,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.25,2021/1/17,16:30:00,25.065714285714286,14.299999999999999,1,0.7257848738642116,177.57142857142858,72.1,22.74142857142857,0.7728571428571429,1
7,1.0,0.16666666666666666,1.0,0.4,0.5,0.25,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,0.4,1.0,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.25,2021/1/17,17:00:00,23.871428571428574,14.599999999999998,1,0.6697054978825833,177.57142857142858,72.1,22.74142857142857,0.7728571428571429,1
7,1.0,0.16666666666666666,1.0,0.4,0.5,0.25,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,0.4,1.0,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.25,2021/1/17,17:30:00,24.327142857142857,14.700000000000001,1,0.8293739957179238,177.57142857142858,72.1,22.74142857142857,0.7728571428571429,1
7,1.0,0.16666666666666666,1.0,0.4,0.5,0.25,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,0.4,1.0,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.25,2021/1/17,09:00:00,19.689999999999998,15.700000000000001,1,0.971116932244527,177.57142857142858,72.1,22.74142857142857,0.7728571428571429,0
7,1.0,0.16666666666666666,1.0,0.4,0.5,0.25,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,0.4,1.0,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.25,2021/1/17,09:30:00,19.97857142857143,17.400000000000002,1,0.3506492856987916,177.57142857142858,72.1,22.74142857142857,0.7728571428571429,0
7,1.0,0.16666666666666666,1.0,0.4,0.5,0.25,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.16666666666666666,0.4,1.0,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.25,2021/1/17,10:00:00,22.587142857142858,17.5,1,0.7479065937364047,177.57142857142858,72.1,22.74142857142857,0.7728571428571429,1
